COD_CURSO;NOME_CURSO;ANO_EVASAO;PERIODO_EVASAO;FORMA_EVASAO;COTISTA;SEXO;ET_BRANCA;ET_PRETA;ET_AMARELA;ET_PARDA;ET_INDIGINA;ET_NAO_INFORMADO;ET_NAO_DECLARADA;QTDE
10 L;Física - Licenciatura;2017;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;S;F;2;0;0;0;0;0;0;2
10 L;Física - Licenciatura;2017;1º Semestre;Formado;N;F;3;0;0;0;0;0;0;3
10 L;Física - Licenciatura;2017;1º Semestre;Formado;N;M;2;0;0;1;0;0;0;3
10 L;Física - Licenciatura;2017;1º Semestre;Formado;S;M;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;2017;1º Semestre;Transferido;N;M;0;1;0;0;0;0;0;1
12;Matemática;2017;1º Semestre;Desistência;N;M;1;0;1;1;0;0;0;3
12;Matemática;2017;1º Semestre;Transferido;N;M;0;1;0;0;0;0;0;1
12 B;Matemática - Bacharelado;2017;1º Semestre;Formado;N;M;1;0;0;1;0;0;0;2
12 L;Matemática - Licenciatura;2017;1º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
16;Estatística;2017;1º Semestre;Desligamento por Abandono;N;F;3;0;0;1;0;0;0;4
16;Estatística;2017;1º Semestre;Desligamento por Abandono;N;M;3;0;1;4;0;0;0;8
16;Estatística;2017;1º Semestre;Formado;N;F;2;0;0;0;0;0;0;2
